Week,Temp,Host_Species,Dev_Stage
1,16.9,Common Milkweed,Egg
1,20.2,Swamp Milkweed,Egg
1,21,Common Milkweed,Egg
1,22.5,Common Milkweed,Egg
1,22.4,Tropical Milkweed,Egg
1,19,Tropical Milkweed,Egg
1,19.7,Swamp Milkweed,Egg
1,16.7,Common Milkweed,Egg
1,16.6,Tropical Milkweed,Egg
1,19.3,Swamp Milkweed,Egg
1,18.8,Tropical Milkweed,Egg
1,16.6,Swamp Milkweed,Egg
1,16.8,Tropical Milkweed,Egg
1,18.3,Swamp Milkweed,Egg
1,22.9,Swamp Milkweed,Egg
1,22,Swamp Milkweed,Egg
1,19.1,Swamp Milkweed,Egg
1,23.2,Tropical Milkweed,Egg
1,18.6,Tropical Milkweed,Egg
1,23.6,Common Milkweed,Egg
1,22,Tropical Milkweed,Egg
1,22.3,Tropical Milkweed,Egg
2,17.8,Swamp Milkweed,Egg
2,23.5,Tropical Milkweed,Egg
2,17.3,Swamp Milkweed,Egg
2,21.7,Common Milkweed,Larva
2,22.8,Swamp Milkweed,Egg
2,20,Common Milkweed,Larva
2,17.6,Swamp Milkweed,Egg
2,23.3,Tropical Milkweed,Egg
2,23.4,Swamp Milkweed,Egg
2,16.8,Swamp Milkweed,Larva
2,21,Tropical Milkweed,Egg
2,19,Swamp Milkweed,Larva
2,18.6,Swamp Milkweed,Egg
2,20.6,Tropical Milkweed,Egg
2,21.1,Tropical Milkweed,Egg
3,21.1,Common Milkweed,Larva
3,21.4,Common Milkweed,Larva
3,23.2,Common Milkweed,Larva
3,17.3,Swamp Milkweed,Egg
3,20.9,Tropical Milkweed,Egg
3,19.1,Swamp Milkweed,Egg
3,18.7,Common Milkweed,Egg
3,20.6,Swamp Milkweed,Larva
3,16.3,Swamp Milkweed,Larva
3,23.8,Tropical Milkweed,Larva
3,19.5,Common Milkweed,Larva
3,16.2,Tropical Milkweed,Egg
3,21.6,Tropical Milkweed,Egg
3,19.4,Swamp Milkweed,Egg
3,20.9,Tropical Milkweed,Egg
3,22.5,Swamp Milkweed,Larva
3,17.4,Common Milkweed,Egg
3,23.2,Common Milkweed,Larva
3,22.3,Tropical Milkweed,Egg
4,19.9,Swamp Milkweed,Larva
4,17.5,Swamp Milkweed,Larva
4,21.1,Tropical Milkweed,Egg
4,20.4,Swamp Milkweed,Larva
4,21.3,Common Milkweed,Pupa
4,22.4,Common Milkweed,Pupa
4,19.9,Common Milkweed,Larva
4,17.4,Tropical Milkweed,Larva
4,23.7,Common Milkweed,Pupa
4,22.1,Common Milkweed,Larva
4,16.9,Swamp Milkweed,Egg
4,19.8,Common Milkweed,Egg
4,20.6,Tropical Milkweed,Pupa
4,18.6,Swamp Milkweed,Egg
4,23.4,Common Milkweed,Pupa
4,16.8,Common Milkweed,Larva
5,17.9,Common Milkweed,Larva
5,18.6,Common Milkweed,Larva
5,20.1,Tropical Milkweed,Larva
5,18.7,Swamp Milkweed,Larva
5,23.2,Tropical Milkweed,Larva
5,16.8,Tropical Milkweed,Egg
5,21.2,Common Milkweed,Larva
5,21.6,Swamp Milkweed,Pupa
5,20.9,Swamp Milkweed,Larva
5,18.3,Tropical Milkweed,Larva
5,21.8,Tropical Milkweed,Larva
5,23.7,Common Milkweed,Larva
5,17.4,Common Milkweed,Egg
5,16.3,Swamp Milkweed,Larva
5,17.3,Swamp Milkweed,Egg
5,22.4,Common Milkweed,Larva
5,16.1,Tropical Milkweed,Egg
5,21.4,Common Milkweed,Larva
6,16.1,Swamp Milkweed,Egg
6,19.1,Swamp Milkweed,Larva
6,18.1,Swamp Milkweed,Larva
6,18.2,Tropical Milkweed,Larva
6,16.2,Common Milkweed,Larva
6,23.5,Common Milkweed,Pupa
6,22.4,Common Milkweed,Larva
6,21.1,Swamp Milkweed,Larva
6,16.6,Common Milkweed,Egg
6,16.9,Tropical Milkweed,Pupa
6,19,Tropical Milkweed,Larva
6,18.3,Tropical Milkweed,Pupa
7,17.2,Swamp Milkweed,Larva
7,21.8,Tropical Milkweed,Pupa
7,21.1,Tropical Milkweed,Larva
7,22.2,Tropical Milkweed,Adult
7,16.1,Swamp Milkweed,Larva
7,16,Common Milkweed,Larva
7,18.9,Common Milkweed,Larva
7,22.8,Tropical Milkweed,Adult
7,23.3,Common Milkweed,Adult
7,16.2,Common Milkweed,Larva
7,17,Common Milkweed,Pupa
7,16.4,Swamp Milkweed,Larva
7,20.3,Tropical Milkweed,Pupa
7,18,Tropical Milkweed,Larva
7,21.7,Swamp Milkweed,Pupa
7,18,Swamp Milkweed,Larva
7,22.8,Common Milkweed,Pupa
7,21.6,Tropical Milkweed,Pupa
7,19.5,Swamp Milkweed,Pupa
7,23.5,Tropical Milkweed,Pupa
7,23.2,Common Milkweed,Pupa
7,18.3,Swamp Milkweed,Larva
7,22.6,Common Milkweed,Pupa
7,18.6,Swamp Milkweed,Larva
8,21.4,Tropical Milkweed,Pupa
8,22.7,Tropical Milkweed,Pupa
8,16.3,Swamp Milkweed,Larva
8,20.7,Common Milkweed,Pupa
8,21.2,Common Milkweed,Pupa
8,23.8,Common Milkweed,Adult
8,20.6,Tropical Milkweed,Pupa
8,18.4,Swamp Milkweed,Pupa
8,23.5,Swamp Milkweed,Adult
8,23.9,Swamp Milkweed,Pupa
8,20,Swamp Milkweed,Pupa
8,21.6,Swamp Milkweed,Adult
8,22.4,Swamp Milkweed,Pupa
8,16.8,Common Milkweed,Egg
8,22.2,Tropical Milkweed,Pupa
8,21.1,Swamp Milkweed,Pupa
8,18.6,Common Milkweed,Pupa
8,21.6,Tropical Milkweed,Adult
8,23.9,Tropical Milkweed,Adult
8,22.2,Common Milkweed,Pupa
8,16.7,Tropical Milkweed,Larva
9,20.4,Common Milkweed,Adult
9,16.7,Swamp Milkweed,Pupa
9,21.3,Common Milkweed,Adult
9,21.5,Swamp Milkweed,Adult
9,18.6,Common Milkweed,Adult
9,17.4,Common Milkweed,Adult
9,20.1,Common Milkweed,Pupa
9,18.9,Common Milkweed,Adult
9,22.9,Common Milkweed,Adult
9,20.1,Common Milkweed,Pupa
9,22.6,Common Milkweed,Adult
9,20.2,Swamp Milkweed,Adult
9,18.2,Common Milkweed,Pupa
9,21.3,Tropical Milkweed,Adult
9,23.7,Common Milkweed,Adult
9,16.1,Tropical Milkweed,Pupa
9,16.6,Swamp Milkweed,Pupa
9,16.2,Swamp Milkweed,Pupa
9,23,Tropical Milkweed,Adult
9,18.7,Common Milkweed,Larva
10,18.9,Tropical Milkweed,Pupa
10,23,Common Milkweed,Adult
10,23.2,Tropical Milkweed,Adult
10,17.9,Tropical Milkweed,Adult
10,22,Tropical Milkweed,Adult
10,21.2,Tropical Milkweed,Adult
10,19,Common Milkweed,Adult
10,19.4,Tropical Milkweed,Adult
10,17.1,Swamp Milkweed,Pupa
10,20.7,Common Milkweed,Adult
10,16.3,Tropical Milkweed,Pupa
10,17.3,Common Milkweed,Adult
10,23.6,Tropical Milkweed,Adult
10,21.9,Common Milkweed,Adult
10,21,Swamp Milkweed,Adult
10,20.4,Tropical Milkweed,Adult
10,22,Tropical Milkweed,Adult
10,22,Common Milkweed,Adult
11,17.9,Swamp Milkweed,Adult
11,20.3,Tropical Milkweed,Adult
11,16.7,Swamp Milkweed,Adult
11,17.9,Common Milkweed,Adult
11,16.7,Tropical Milkweed,Adult
11,23.1,Tropical Milkweed,Adult
11,20.3,Swamp Milkweed,Adult
11,18.2,Swamp Milkweed,Adult
11,21.3,Tropical Milkweed,Adult
11,16.8,Common Milkweed,Adult
11,19.2,Tropical Milkweed,Adult
11,19.7,Tropical Milkweed,Adult
11,16.8,Tropical Milkweed,Pupa
11,21,Tropical Milkweed,Adult
11,19.3,Swamp Milkweed,Adult
11,23.6,Tropical Milkweed,Adult
12,17.4,Swamp Milkweed,Adult
12,17.1,Swamp Milkweed,Adult
12,23.4,Common Milkweed,Adult
12,22.5,Common Milkweed,Adult
12,23.2,Common Milkweed,Adult
12,21.1,Common Milkweed,Adult
12,23.1,Swamp Milkweed,Adult
12,21.2,Common Milkweed,Adult
12,20.5,Tropical Milkweed,Adult
12,16.7,Common Milkweed,Adult
12,18.1,Common Milkweed,Adult
12,16.1,Common Milkweed,Adult
12,18.5,Tropical Milkweed,Adult
12,23,Common Milkweed,Adult
12,21.9,Tropical Milkweed,Adult
12,21.6,Swamp Milkweed,Adult
12,21.2,Common Milkweed,Adult
12,18.9,Swamp Milkweed,Adult
12,17.7,Common Milkweed,Adult
12,20.1,Common Milkweed,Adult
12,20.4,Common Milkweed,Adult
12,16.4,Swamp Milkweed,Adult
12,21.1,Swamp Milkweed,Adult
12,16.2,Common Milkweed,Adult
12,20.7,Swamp Milkweed,Adult
12,23.5,Swamp Milkweed,Adult
12,19.1,Tropical Milkweed,Adult
12,22.5,Swamp Milkweed,Adult
12,23.2,Swamp Milkweed,Adult
12,19.6,Tropical Milkweed,Adult
13,23.9,Tropical Milkweed,Adult
13,22.1,Swamp Milkweed,Adult
13,21.3,Tropical Milkweed,Adult
13,18,Swamp Milkweed,Adult
13,23.6,Swamp Milkweed,Adult
13,20.6,Common Milkweed,Adult
13,21.6,Tropical Milkweed,Adult
13,18.3,Common Milkweed,Adult
13,22.5,Common Milkweed,Adult
13,20.9,Common Milkweed,Adult
13,16.1,Common Milkweed,Adult
13,19.8,Common Milkweed,Adult
13,19.9,Swamp Milkweed,Adult
13,17.4,Common Milkweed,Adult
13,20,Swamp Milkweed,Adult
13,22.8,Swamp Milkweed,Adult
14,21.5,Common Milkweed,Adult
14,18.7,Swamp Milkweed,Adult
14,18.8,Tropical Milkweed,Adult
14,21.8,Tropical Milkweed,Adult
14,17.8,Tropical Milkweed,Adult
14,23.1,Swamp Milkweed,Adult
14,21.8,Common Milkweed,Adult
14,23.7,Tropical Milkweed,Adult
14,22.8,Common Milkweed,Adult
14,19.1,Swamp Milkweed,Adult
14,20.5,Tropical Milkweed,Adult
14,20.3,Common Milkweed,Adult
14,22.7,Common Milkweed,Adult
14,20.4,Common Milkweed,Adult
14,16.4,Common Milkweed,Adult
14,22.9,Tropical Milkweed,Adult
14,19.1,Common Milkweed,Adult
14,21.1,Common Milkweed,Adult
14,17.6,Swamp Milkweed,Adult
14,21.5,Swamp Milkweed,Adult
14,21.9,Swamp Milkweed,Adult
14,19.4,Common Milkweed,Adult
14,20,Swamp Milkweed,Adult
14,16.7,Common Milkweed,Adult
